assign_target_id,part_code,damage_code,severity_code
13780040,8313,17,69
13766136,7978,84,74
13760770,8022,254,52
13766162,7978,23,16
13766162,8034,84,71
13787543,8290,14,71
13787543,8422,14,71
13787563,8290,14,71
13787584,8290,14,71
13787584,8422,14,71
13780484,9082,255,66
13760770,8020,254,66
13760770,8021,255,54
13760770,8020,84,9
13793476,7858,11,6
13766162,7858,23,16
13766162,7859,23,16
13766162,7859,23,16
13772627,8315,58,69
13767126,8315,58,69
13787543,8172,14,71
13793719,8172,14,71
13787584,8214,14,71
13787584,8260,14,71
13793719,8204,64,7
13793719,8328,41,69
13766136,8981,11,73
13760770,7975,15,71
13766162,8981,23,71
13766162,8964,23,71
13757103,6050,63,71
13787584,6050,14,71
13793719,6050,36,69
13760770,6050,36,69
13766162,6050,36,69
13780484,6300,15,1
13787584,1420,35,1
13780002,8151,127,1
13756941,8151,127,1
13780040,8151,89,15
13779900,8151,89,1
13780107,965,89,69
13787563,8485,11,69
13760770,7992,28,69
13793719,8265,8,68
13766162,7962,84,74
13760770,7962,20,1
13780002,8474,16,71
13793719,8474,16,71
13780107,8312,8,68
13780107,8281,19,71
13779939,8281,19,71
13767159,330,19,71
13779958,8312,17,69
13767159,8319,17,69
13787584,8075,17,69
13767159,8392,16,71
13780329,8281,14,71
13767159,8076,14,71
13780107,8319,10,71
13767236,330,10,71
13767159,9398,10,71
13779939,8408,89,71
13780329,8387,14,71
13787543,440,14,71
13787563,440,14,71
13779939,8207,89,71
13767236,8207,88,65
13793719,8083,14,71
13781421,6220,94,65
13793719,8390,11,1
13780107,8415,15,15
13780107,8415,15,15
13766136,9404,73,2
13766162,8950,73,7
13787563,8390,16,71
13766162,7995,23,16
13766162,8025,23,16
13766162,7996,23,16
13766162,8005,23,16
13766162,8007,23,16
13766136,8025,23,16
13766136,8005,23,16
13760770,8025,14,71
13760770,8005,14,71
13779939,1390,23,70
13760770,1411,14,71
13760770,1411,14,71
13787584,1390,19,71
13787584,1424,12,71
13766162,8797,23,16
13766162,1100,84,2
13760770,1100,254,53
13760770,80,254,55
13760770,562,255,53
13787563,8133,11,1
13793719,8443,58,69
13793719,129,64,74
13767159,8229,89,71
13766136,8013,2,52
13760770,9403,255,53
13760770,7989,255,55
13760770,7965,255,55
13787543,129,255,54
13781421,180,76,6
13766162,7965,14,71
13781421,110,254,55
13766162,8941,84,73
13766162,7989,84,2
13766136,8941,84,2
13766162,7982,84,7
13787584,1,35,5
13793719,1,35,7
13766136,7982,73,73
13779958,1,12,69
13766136,736,41,69
13780040,9201,14,71
13780329,9201,14,71
13779958,9201,14,71
13779900,9201,14,71
13780107,9201,14,71
13779939,9201,14,71
13772660,9201,14,71
13767126,9201,14,71
13780002,9201,14,71
13767110,9201,14,71
13767236,9201,14,71
13767159,9201,14,71
13756941,9201,14,71
13772627,9201,14,71
13793476,9201,14,71
13760770,6810,84,71
13766136,7510,73,16
13766136,7515,73,16
13766162,81,23,16
13760770,8973,23,16
13760770,8988,23,16
13760770,365,23,16
13793719,8367,89,71
13780002,8407,78,40
13793476,365,16,71
13760770,10,14,71
13780484,10,16,71
13766162,640,14,71
13793476,160,14,71
13793476,640,14,71
13766136,640,73,2
13760770,160,28,10
13760770,640,28,12
13766136,160,84,73
13655390,7739,41,69
13675511,8585,14,71
13708719,920,16,71
13670212,1810,39,75
13654351,307,14,71
13614627,155,16,71
13708719,505,177,6
13708719,155,177,1
13708719,305,177,1
13654156,655,84,6
13649553,505,35,10
13649553,305,35,13
13649553,655,35,1
13675511,155,23,16
13675511,305,23,16
13675511,505,23,16
13675511,655,23,16
13654156,305,23,16
13654156,155,23,16
13654156,505,23,16
13654156,655,23,16
13708719,655,251,2
13680033,505,251,7
13697448,155,251,1
13697448,505,251,1
13699274,655,251,1
13691557,655,251,6
13691557,505,251,7
13694331,505,251,10
13694331,655,251,1
13649553,155,68,73
13641114,655,255,55
13655390,816,41,69
13655390,818,41,69
13675511,6300,84,1
13684509,6300,84,2
13636119,1420,255,58
13678831,6300,255,66
13691557,39,254,53
13701818,6300,254,54
13655851,6300,2,66
13678831,6300,2,66
13701818,1420,13,7
13701397,6300,35,6
13656665,1420,28,1
13493807,1420,28,1
13493807,6300,28,1
13654355,1420,76,6
13675511,1420,64,12
13656665,1420,64,14
13704675,8457,76,6
13704675,8459,76,10
13670212,8459,76,2
13495008,8457,76,6
13654351,8460,28,39
13655390,8458,254,55
13654351,8460,64,9
13684509,9086,254,66
13684509,6560,254,66
13493807,295,28,1
13493807,555,28,1
13655390,555,16,71
13699274,7768,84,74
13680033,7881,34,4
13680033,185,34,6
13654156,7941,16,71
13655390,9341,14,71
13684501,7811,14,71
13684501,7811,14,71
13655390,911,11,6
13655390,901,11,9
13680033,911,8,68
13655390,981,37,63
13596676,1670,78,40
13694331,1290,68,71
13654156,1290,10,71
13654156,1310,10,71
13614627,1290,10,71
13614627,1320,10,71
13614627,1310,10,71
13694331,1310,10,71
13694331,1290,10,71
13699274,1290,183,71
13699274,1290,21,71
13699274,1310,21,71
13596676,6260,94,65
13596676,6220,94,65
13596676,8601,94,65
13596676,6240,94,65
13596676,9022,94,65
13689755,8601,94,65
13699274,6220,94,65
13680033,6220,94,65
13654351,8601,94,65
13684509,8601,94,65
13697448,8339,94,65
13708719,6220,94,65
13708719,6295,94,65
13586943,6220,94,65
13654359,8641,94,65
13654156,6220,94,65
13675511,6220,94,65
13675511,9022,94,65
13694331,8601,41,69
13641114,7801,84,73
13694331,42,254,66
13641114,42,73,73
13654349,9025,16,71
13680033,9025,10,16
13493807,7325,14,71
13680033,6640,254,66
13655390,7805,19,71
13675511,8704,16,71
13675511,8596,16,71
13655390,8576,19,71
13596676,8908,16,71
13689755,7948,28,39
13655390,110,28,2
13695132,110,22,16
13656665,110,22,16
13586943,110,2,54
13684509,110,2,52
13493807,110,2,66
13689596,110,2,66
13596676,110,2,66
13697448,110,2,66
13649768,110,2,66
13656937,110,2,66
13670212,110,2,66
13694331,110,254,66
13596676,110,64,74
13680033,110,64,13
13655390,110,69,66
13701397,780,41,69
13495008,771,14,71
13495008,770,14,71
13493807,770,14,71
13493807,771,14,71
13655390,120,69,66
13655390,9045,28,7
13655390,9084,28,9
13654351,120,28,9
13670212,7804,58,69
13675511,9691,14,71
13675511,967,14,71
13654156,380,84,10
13654156,40,84,12
13493807,40,11,1
13680033,380,16,71
13680033,40,16,71
13684501,40,2,57
13689596,40,2,66
13596676,40,2,66
13697448,40,2,66
13656937,380,2,66
13656937,40,2,66
13670212,40,2,66
13697448,380,2,51
13697448,380,19,6
13654351,40,19,7
13614627,40,76,5
13586943,40,254,52
13586943,380,254,54
13656665,40,254,66
13694331,380,255,66
13649768,380,255,66
13689596,380,78,16
13695132,40,78,16
13656665,40,78,16
13614627,40,78,40
13680033,380,78,40
13654156,70,16,71
13493807,900,11,12
13654156,900,13,10
13680033,9149,41,71
13680033,9120,41,71
13675511,440,14,71
13649553,430,14,71
13493807,440,14,71
13680033,10,258,52
13654359,10,258,56
13656937,10,258,66
13654355,10,86,73
13656665,10,86,73
13684509,10,86,73
13670212,10,2,6
13675511,10,19,1
13694331,10,19,1
13708719,10,19,13
13689755,10,19,1
13697448,10,19,1
13654349,10,19,1
13680033,9102,34,7
13675511,9060,14,71
13680033,9060,254,54
13680033,7826,76,26
13596676,1180,262,65
13704675,1180,41,69
13655390,44,14,71
13680033,6960,257,53
13680033,6960,78,16
13680033,6970,84,10
13495008,9082,255,66
13495008,9082,2,66
13655390,9082,2,66
13680033,850,8,68
13655390,850,37,73
13680033,7773,14,71
13680033,8562,16,71
13654351,8584,16,71
13655390,7738,9,65
13694331,180,256,52
13708719,220,256,52
13654359,220,256,52
13684501,180,256,52
13654351,180,256,52
13654351,419,256,52
13586943,220,256,53
13586943,620,256,53
13670212,419,256,57
13695132,220,76,6
13656665,220,76,7
13678831,580,76,7
13701397,620,76,74
13649768,580,76,63
13586943,180,76,63
13687110,620,76,63
13701818,580,76,73
13701818,620,76,73
13655851,220,76,73
13708719,580,76,74
13670212,180,76,74
13654156,180,76,74
13654349,620,76,2
13655851,180,76,2
13684509,220,76,2
13656665,419,254,55
13684509,580,254,66
13654355,180,2,51
13684501,180,2,52
13694331,220,64,73
13694331,620,64,74
13670212,220,64,73
13678831,180,64,73
13636119,293,76,26
13636119,620,76,26
13636119,220,256,29
13614627,580,256,29
13704675,419,256,29
13704675,180,256,30
13704675,620,256,30
13699274,320,28,73
